Oscilloscope time (s),Measured current through coilpair 4 (A)
-0.002000,0.321250
-0.001960,0.321250
-0.001920,0.401250
-0.001880,0.401250
-0.001840,0.401250
-0.001800,0.401250
-0.001760,0.401250
-0.001720,0.401250
-0.001680,0.401250
-0.001640,0.401250
-0.001600,0.401250
-0.001560,0.401250
-0.001520,0.401250
-0.001480,0.401250
-0.001440,0.401250
-0.001400,0.401250
-0.001360,0.481250
-0.001320,0.481250
-0.001280,0.401250
-0.001240,0.321250
-0.001200,0.401250
-0.001160,0.321250
-0.001120,0.321250
-0.001080,0.401250
-0.001040,0.401250
-0.001000,0.321250
-0.000960,0.401250
-0.000920,0.321250
-0.000880,0.321250
-0.000840,0.481250
-0.000800,0.401250
-0.000760,0.321250
-0.000720,0.401250
-0.000680,0.401250
-0.000640,0.321250
-0.000600,0.401250
-0.000560,0.241250
-0.000520,0.321250
-0.000480,0.401250
-0.000440,0.401250
-0.000400,0.401250
-0.000360,0.401250
-0.000320,0.321250
-0.000280,0.401250
-0.000240,0.561250
-0.000200,0.881250
-0.000160,1.201250
-0.000120,1.761250
-0.000080,2.081250
-0.000040,2.561250
0.000000,2.801250
0.000040,3.201250
0.000080,3.681250
0.000120,4.001250
0.000160,4.321250
0.000200,4.641250
0.000240,4.961250
0.000280,5.281250
0.000320,5.681250
0.000360,5.921250
0.000400,6.081250
0.000440,6.401250
0.000480,6.641250
0.000520,6.881250
0.000560,7.041250
0.000600,7.361250
0.000640,7.521250
0.000680,7.681250
0.000720,7.681250
0.000760,7.921250
0.000800,8.161250
0.000840,8.321250
0.000880,8.321250
0.000920,8.481250
0.000960,8.641250
0.001000,8.721250
0.001040,8.721250
0.001080,8.801250
0.001120,8.881250
0.001160,8.881250
0.001200,8.961250
0.001240,9.041250
0.001280,9.041250
0.001320,9.041250
0.001360,9.041250
0.001400,9.121250
0.001440,9.041250
0.001480,9.041250
0.001520,9.121250
0.001560,9.041250
0.001600,9.041250
0.001640,8.961250
0.001680,8.961250
0.001720,8.961250
0.001760,8.881250
0.001800,8.881250
0.001840,8.801250
0.001880,8.801250
0.001920,8.801250
0.001960,8.641250
0.002000,8.561250
0.002040,8.481250
0.002080,8.481250
0.002120,8.321250
0.002160,8.241250
0.002200,8.161250
0.002240,8.081250
0.002280,8.001250
0.002320,7.841250
0.002360,7.841250
0.002400,7.761250
0.002440,7.601250
0.002480,7.441250
0.002520,7.441250
0.002560,7.281250
0.002600,7.281250
0.002640,7.041250
0.002680,6.961250
0.002720,6.961250
0.002760,6.801250
0.002800,6.721250
0.002840,6.561250
0.002880,6.561250
0.002920,6.401250
0.002960,6.161250
0.003000,6.081250
0.003040,6.001250
0.003080,5.921250
0.003120,5.761250
0.003160,5.761250
0.003200,5.681250
0.003240,5.441250
0.003280,5.361250
0.003320,5.281250
0.003360,5.201250
0.003400,5.121250
0.003440,5.041250
0.003480,4.881250
0.003520,4.721250
0.003560,4.721250
0.003600,4.641250
0.003640,4.481250
0.003680,4.481250
0.003720,4.321250
0.003760,4.241250
0.003800,4.161250
0.003840,4.001250
0.003880,4.001250
0.003920,4.001250
0.003960,3.841250
0.004000,3.841250
0.004040,3.681250
0.004080,3.681250
0.004120,3.601250
0.004160,3.441250
0.004200,3.361250
0.004240,3.361250
0.004280,3.281250
0.004320,3.201250
0.004360,3.121250
0.004400,3.041250
0.004440,3.041250
0.004480,2.881250
0.004520,2.881250
0.004560,2.801250
0.004600,2.721250
0.004640,2.561250
0.004680,2.561250
0.004720,2.561250
0.004760,2.481250
0.004800,2.401250
0.004840,2.401250
0.004880,2.401250
0.004920,2.241250
0.004960,2.161250
0.005000,2.081250
0.005040,2.081250
0.005080,2.001250
0.005120,1.921250
0.005160,1.921250
0.005200,1.841250
0.005240,1.761250
0.005280,1.761250
0.005320,1.761250
0.005360,1.681250
0.005400,1.521250
0.005440,1.601250
0.005480,1.521250
0.005520,1.441250
0.005560,1.361250
0.005600,1.361250
0.005640,1.361250
0.005680,1.361250
0.005720,1.201250
0.005760,1.201250
0.005800,1.201250
0.005840,1.201250
0.005880,1.121250
0.005920,1.121250
0.005960,1.041250
0.006000,0.961250
0.006040,0.961250
0.006080,0.881250
0.006120,0.881250
0.006160,0.881250
0.006200,0.961250
0.006240,0.801250
0.006280,0.801250
0.006320,0.801250
0.006360,0.721250
0.006400,0.721250
0.006440,0.721250
0.006480,0.721250
0.006520,0.641250
0.006560,0.641250
0.006600,0.641250
0.006640,0.561250
0.006680,0.561250
0.006720,0.561250
0.006760,0.401250
0.006800,0.561250
0.006840,0.481250
0.006880,0.481250
0.006920,0.481250
0.006960,0.481250
0.007000,0.401250
0.007040,0.561250
0.007080,0.401250
0.007120,0.481250
0.007160,0.401250
0.007200,0.481250
0.007240,0.401250
0.007280,0.481250
0.007320,0.481250
0.007360,0.401250
0.007400,0.401250
0.007440,0.401250
0.007480,0.401250
0.007520,0.401250
0.007560,0.321250
0.007600,0.401250
0.007640,0.481250
0.007680,0.481250
0.007720,0.481250
0.007760,0.321250
0.007800,0.401250
0.007840,0.401250
0.007880,0.321250
0.007920,0.321250
0.007960,0.401250
0.008000,0.401250
0.008040,0.401250
0.008080,0.401250
0.008120,0.401250
0.008160,0.401250
0.008200,0.401250
0.008240,0.321250
0.008280,0.401250
0.008320,0.401250
0.008360,0.401250
0.008400,0.481250
0.008440,0.321250
0.008480,0.401250
0.008520,0.401250
0.008560,0.401250
0.008600,0.401250
0.008640,0.401250
0.008680,0.401250
0.008720,0.401250
0.008760,0.401250
0.008800,0.401250
0.008840,0.401250
0.008880,0.401250
0.008920,0.401250
0.008960,0.321250
0.009000,0.401250
0.009040,0.321250
0.009080,0.321250
0.009120,0.321250
0.009160,0.401250
0.009200,0.401250
0.009240,0.401250
0.009280,0.321250
0.009320,0.401250
0.009360,0.401250
0.009400,0.401250
0.009440,0.401250
0.009480,0.401250
0.009520,0.401250
0.009560,0.401250
0.009600,0.401250
0.009640,0.401250
