Oscilloscope time (s),Measured current through coil-pair 2 (A) with SD2
0.010440,0.481250
0.010480,0.561250
0.010520,0.401250
0.010560,0.481250
0.010600,0.481250
0.010640,0.401250
0.010680,0.401250
0.010720,0.401250
0.010760,0.401250
0.010800,0.401250
0.010840,0.401250
0.010880,0.401250
0.010920,0.401250
0.010960,0.481250
0.011000,0.481250
0.011040,0.401250
0.011080,0.401250
0.011120,0.401250
0.011160,0.401250
0.011200,0.401250
0.011240,0.401250
0.011280,0.401250
0.011320,0.401250
0.011360,0.401250
0.011400,0.401250
0.011440,0.401250
0.011480,0.401250
0.011520,0.401250
0.011560,0.401250
0.011600,0.401250
0.011640,0.401250
0.011680,0.401250
0.011720,0.401250
0.011760,0.401250
0.011800,0.481250
0.011840,0.401250
0.011880,0.401250
0.011920,0.401250
0.011960,0.401250
0.012000,0.401250
0.012040,0.401250
0.012080,0.401250
0.012120,0.401250
0.012160,0.401250
0.012200,0.401250
0.012240,0.401250
0.012280,0.401250
0.012320,0.401250
0.012360,0.401250
0.012400,0.401250
0.012440,0.401250
0.012480,0.401250
0.012520,0.321250
0.012560,0.401250
0.012600,0.401250
0.012640,0.401250
0.012680,0.401250
0.012720,0.401250
0.012760,0.401250
0.012800,0.401250
0.012840,0.401250
0.012880,0.481250
0.012920,0.401250
0.012960,0.401250
0.013000,0.401250
0.013040,0.401250
0.013080,0.401250
0.013120,0.321250
0.013160,0.481250
0.013200,0.401250
0.013240,0.401250
0.013280,0.401250
0.013320,0.401250
0.013360,0.401250
0.013400,0.401250
0.013440,0.401250
0.013480,0.401250
0.013520,0.401250
0.013560,0.401250
0.013600,0.401250
0.013640,0.401250
0.013680,0.321250
0.013720,0.401250
0.013760,0.481250
0.013800,0.401250
0.013840,0.401250
0.013880,0.401250
0.013920,0.401250
0.013960,0.401250
0.014000,0.321250
0.014040,0.401250
0.014080,0.401250
0.014120,0.401250
0.014160,0.401250
0.014200,0.401250
0.014240,0.401250
0.014280,0.321250
0.014320,0.401250
0.014360,0.401250
0.014400,0.401250
0.014440,0.481250
0.014480,0.401250
0.014520,0.401250
0.014560,0.401250
0.014600,0.321250
0.014640,0.401250
0.014680,0.401250
0.014720,0.401250
0.014760,0.401250
0.014800,0.401250
0.014840,0.401250
0.014880,0.401250
0.014920,0.321250
0.014960,0.401250
0.015000,0.321250
0.015040,0.401250
0.015080,0.321250
0.015120,0.401250
0.015160,0.401250
0.015200,0.401250
0.015240,0.401250
0.015280,0.401250
0.015320,0.321250
0.015360,0.401250
0.015400,0.401250
0.015440,0.481250
0.015480,0.401250
0.015520,0.401250
0.015560,0.401250
0.015600,0.401250
0.015640,0.401250
0.015680,0.401250
0.015720,0.401250
0.015760,0.401250
0.015800,0.401250
0.015840,0.321250
0.015880,0.321250
0.015920,0.401250
0.015960,0.401250
0.016000,0.401250
0.016040,0.401250
0.016080,0.401250
0.016120,0.401250
0.016160,0.401250
0.016200,0.321250
0.016240,0.321250
0.016280,0.481250
0.016320,0.481250
0.016360,0.401250
0.016400,0.401250
0.016440,0.401250
0.016480,0.481250
0.016520,0.321250
0.016560,0.401250
0.016600,0.321250
0.016640,0.401250
0.016680,0.321250
0.016720,0.401250
0.016760,0.401250
0.016800,0.401250
0.016840,0.401250
0.016880,0.321250
0.016920,0.401250
0.016960,0.321250
0.017000,0.401250
0.017040,0.401250
0.017080,0.401250
0.017120,0.401250
