Oscilloscope time (s),Measured current through coil-pair 1 (A) with SD2,Measured current through coil-pair 2 (A) with SD2,Measured current through coilpair 3 (A),Measured current through coilpair 4 (A),Measured current through coilpair 5 (A)
-0.002,0.400753,0.40125,0.40125,0.32125,0.32125
-0.00196,0.440766,0.40125,0.40125,0.32125,0.32125
-0.00192,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00188,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00184,0.440766,0.40125,0.40125,0.40125,0.32125
-0.0018,0.400753,0.32125,0.40125,0.40125,0.32125
-0.00176,0.400753,0.48125,0.40125,0.40125,0.40125
-0.00172,0.440766,0.40125,0.32125,0.40125,0.32125
-0.00168,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00164,0.400753,0.40125,0.40125,0.40125,0.40125
-0.0016,0.400753,0.40125,0.32125,0.40125,0.40125
-0.00156,0.400753,0.40125,0.32125,0.40125,0.40125
-0.00152,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00148,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00144,0.36074,0.40125,0.40125,0.40125,0.40125
-0.0014,0.400753,0.40125,0.40125,0.40125,0.32125
-0.00136,0.400753,0.40125,0.40125,0.48125,0.40125
-0.00132,0.400753,0.48125,0.40125,0.48125,0.40125
-0.00128,0.400753,0.40125,0.40125,0.40125,0.40125
-0.00124,0.36074,0.40125,0.40125,0.32125,0.32125
-0.0012,0.36074,0.32125,0.40125,0.40125,0.40125
-0.00116,0.400753,0.40125,0.40125,0.32125,0.32125
-0.00112,0.400753,0.40125,0.40125,0.32125,0.40125
-0.00108,0.36074,0.40125,0.40125,0.40125,0.40125
-0.00104,0.400753,0.40125,0.40125,0.40125,0.40125
-0.001,0.400753,0.40125,0.40125,0.32125,0.40125
-0.00096,0.36074,0.40125,0.40125,0.40125,0.40125
-0.00092,0.320728,0.40125,0.40125,0.32125,0.32125
-0.00088,0.36074,0.40125,0.40125,0.32125,0.32125
-0.00084,0.400753,0.40125,0.32125,0.48125,0.40125
